"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","subject_ID","expName","date","question_order","success","final_height_px","final_width_px","scale_factor","screenWidth_Inches","screenHeight_Inches","screenDiagonal_Inches","view_history","stimulus","key_press","FinalLinePosition","FaceType","TiltDirection","TubeType","timeViewing","timeMoving","timeHumanize","nHumanizeTrials","HumanizeImage","ViewingImage","MovingImage","isPractice","BreakLength"
"","","Davis-Tube-Tilt","17","45799","0.0-8.0-0.5","7m447","TubeTilt2","2020_6_20_20_39_43_420","","","","","","","","","","","","2","CO","RIGHT","SF","253.9550000219606","468.8999999780208","2290.129999979399","2","images/Humanize/CO_SF.jpg","images/Viewing/CO_RIGHT_SF.jpg","images/Moving/Closed_Open.jpg","false",""
"","","Davis-Tube-Tilt","18","49835","0.0-8.0-0.6","7m447","TubeTilt2","2020_6_20_20_39_43_420","","","","","","","","","","","","2","OC","RIGHT","TT","576.6650000005029","488.0150000099093","1965.2399999904446","2","images/Humanize/OC_TT.jpg","images/Viewing/OC_RIGHT_TT.jpg","images/Moving/Open_Closed.jpg","false",""
"","","Davis-Tube-Tilt","19","53007","0.0-8.0-0.7","7m447","TubeTilt2","2020_6_20_20_39_43_420","","","","","","","","","","","","2","CO","RIGHT","ST","1522.9249999974854","229.2800000286661","414.57500000251457","1","images/Humanize/CO_ST.jpg","images/Viewing/CO_RIGHT_ST.jpg","images/Moving/Closed_Open.jpg","false","999.7550000553019"
"","","Davis-Tube-Tilt","20","55628","0.0-8.0-0.8","7m447","TubeTilt2","2020_6_20_20_39_43_420","","","","","","","","","","","","2","OC","RIGHT","SF","522.6050000055693","277.33499999158084","815.9749999758787","1","images/Humanize/OC_SF.jpg","images/Viewing/OC_RIGHT_SF.jpg","images/Moving/Open_Closed.jpg","false",""
"","","Davis-Tube-Tilt","21","57737","0.0-8.0-0.9","7m447","TubeTilt2","2020_6_20_20_39_43_420","","","","","","","","","","","","-2","CO","LEFT","TF","345.77499999431893","135.53500000853091","619.9950000154786","1","images/Humanize/CO_TF.jpg","images/Viewing/CO_LEFT_TF.jpg","images/Moving/Closed_Open.jpg","false",""
"","","Davis-Tube-Tilt","22","60059","0.0-8.0-0.10","7m447","TubeTilt2","2020_6_20_20_39_43_420","","","","","","","","","","","","-2","OC","LEFT","ST","779.2650000192225","136.57500001136214","401.31500002462417","1","images/Humanize/OC_ST.jpg","images/Viewing/OC_LEFT_ST.jpg","images/Moving/Open_Closed.jpg","false",""
"","","Davis-Tube-Tilt","23","62206","0.0-8.0-0.11","7m447","TubeTilt2","2020_6_20_20_39_43_420","","","","","","","","","","","","-2","CO","LEFT","TT","375.060000049416","426.34499998530373","336.46000002045184","1","images/Humanize/CO_TT.jpg","images/Viewing/CO_LEFT_TT.jpg","images/Moving/Closed_Open.jpg","false",""
"","","Davis-Tube-Tilt","24","64383","0.0-8.0-0.12","7m447","TubeTilt2","2020_6_20_20_39_43_420","","","","","","","","","","","","2","CO","RIGHT","TF","587.4399999738671","172.75999998673797","406.7700000014156","1","images/Humanize/CO_TF.jpg","images/Viewing/CO_RIGHT_TF.jpg","images/Moving/Closed_Open.jpg","false",""
"","","Davis-Tube-Tilt","25","68449","0.0-8.0-0.13","7m447","TubeTilt2","2020_6_20_20_39_43_420","","","","","","","","","","","","-2","CO","LEFT","SF","618.3700000401586","266.4849999709986","2169.1150000551715","2","images/Humanize/CO_SF.jpg","images/Viewing/CO_LEFT_SF.jpg","images/Moving/Closed_Open.jpg","false",""
"","","Davis-Tube-Tilt","26","70720","0.0-8.0-0.14","7m447","TubeTilt2","2020_6_20_20_39_43_420","","","","","","","","","","","","-2","OC","LEFT","TT","658.0949999624863","70.88500005193055","532.9100000089966","1","images/Humanize/OC_TT.jpg","images/Viewing/OC_LEFT_TT.jpg","images/Moving/Open_Closed.jpg","false",""
